Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-29-2019_11-44-01 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,8008.49,9665.41,7678.86,6322.61,6996.56,6818.05,6397.84,5693.01,5426.8,5942.15,6417.64,5858.74
,B,6025.87,6113.08,5697.93,4778.07,4876.94,5109.96,4616.4,4738.54,4886.19,4987.61,4714.26,4640.45
,C,5857.61,6460.29,5561.85,4743.68,4854.34,5101.44,4804.15,4799.85,4547.33,4675.07,4685.83,4639.32
,D,5814.18,6519.95,5530.72,4656.51,4709.84,4898.83,4457.17,4516.25,4516.15,4436.68,4472.21,4341.56
,E,6234.44,6384.94,5343.06,4919.26,4832.33,5090.76,4585.11,4183.86,4298.6,4659.86,4539.25,4319.98
,F,6045.6,5924.57,5041.12,4531.45,4534.79,4480.99,4361.83,4450.68,4472.07,4282.37,4224.96,4309.78
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,2252980,2715470,2068210,1734610,2178460,2293890,2145980,1752480,1667820,1715740,1668630,1504630
,B,1561270,1643330,1610410,1603450,1453840,1800350,1625290,1704590,1539800,1484040,1466720,1275320
,C,406844,557958,481661,474353,488647,542233,476056,477409,428324,399783,406461,405506
,D,1040490,1687240,1067000,954637,1068840,1268920,942444,1040030,1042730,874945,860063,765432
,E,389603,559445,415136,464945,468149,535543,431987,370772,380485,432384,414748,446631
,F,370510,376706,334478,341151,326940,298954,284898,273244,227483,196105,200999,195494
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
