Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-30-2019_4-43-57 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,8443.34,10217.8,8151.19,6573.14,7255.82,7473.43,6929.65,6349.03,6095.04,6319.95,6621.04,6029.55
,B,6453.72,6551.6,6166.6,4987.57,5078.44,5358.26,4847.53,4991.2,5135.69,5209.56,4990.31,4923.15
,C,6338.61,6951.65,6039.48,5029.73,5083.21,5372.03,5050.35,5094.15,4824.94,4921.31,4934,4932.19
,D,6263.62,7034.17,6001.87,4913.03,4891.72,5115.83,4623.64,4655.37,4677.33,4692.75,4738.74,4545.4
,E,6662.55,6896.88,5850.03,5213.81,5007.21,5391.15,4815.31,4393.37,4596.47,4914.19,4778.65,4572.71
,F,6342.25,6197.89,5380.71,4741.39,4719.73,4622.43,4488.71,4583.05,4609.88,4422.91,4369.15,4457.42
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1361100,1936090,1384040,1237860,1502350,1676150,1603140,1362590,1269510,1361690,1373760,1197830
,B,775701,815825,765983,922583,719567,1116440,901016,936425,908884,839366,836163,727822
,C,367406,560501,499051,535684,551799,619037,532217,530804,469306,446431,437460,441721
,D,726677,1078190,795625,813226,933312,990493,786453,881386,851624,731063,728086,654534
,E,357278,535770,385661,479886,467936,525863,438036,381900,378831,445119,437515,422150
,F,315722,334850,312220,337129,336967,307914,280996,276194,230025,190655,198859,196220
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
