Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-30-2019_6-20-37 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,6204.62,6290.38,5985.15,5755.95,5286.17,5872.95,5755.68,5717.49,6287.31,15432.4,14643,16346.8
,B,5436.9,6180.3,4866.14,4903.18,4920.21,4953.03,5265.78,5029.49,5117.33,12907.8,12443.8,11512.2
,C,5916.41,5303.42,5161.07,5333.45,5129.82,5225.59,5777.25,5576.62,5865.32,16712.2,24024.8,21330
,D,5041.41,4605.17,4823.82,4766.96,4606.27,4770.32,4831.66,4883.02,5102.91,11795.8,12492.6,13934.9
,E,4752.89,4723.05,4443.92,4616.74,4460.88,4436.13,4608.69,4706.36,4992.53,8858.65,9298.77,10834.6
,F,4419.11,4193.47,4243.54,4320.33,4310.78,4851.87,4505.45,4810.33,4560.07,5433.68,5469.31,5545.99
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1420700,1102840,1588310,1643120,1546420,1700540,1928100,1844850,1972350,3401250,3106900,3238870
,B,1107180,1050470,1123660,991361,1055800,1083400,1146750,1064450,1074010,2444070,2330090,2036260
,C,602798,696753,741282,668560,697227,773347,771529,845838,802616,1477260,1933610,1809250
,D,822954,878865,1004970,995034,978656,1055150,981745,1016590,1065020,1513580,1666980,1708270
,E,412970,450238,434024,452669,458162,422997,473232,442989,464425,997306,1017450,1019320
,F,224648,224997,224216,225226,220120,248053,193077,165537,175222,246222,262898,274864
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
