Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-30-2019_4-11-12 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,7464.5,5846.47,7063.91,6976.79,7307.16,6547.96,7158.67,5931.33,6814.38,6128.22,6659.25,6862.06
,B,5989.63,5446.35,5911.3,5816.41,6066.61,5715.56,5571.92,5443.62,5478.41,5625.11,5708.95,5611.61
,C,6168.08,5584.64,5937.01,5804.58,5871.46,5763.37,5693.4,5422.64,5767.61,5849,5915.85,5695.41
,D,5943.45,5791.78,5976.69,5849.57,6064.46,5510.19,5868.55,5663.83,5906.73,5761.72,5748.45,6301.32
,E,5981.08,5589.54,5959.69,6129.78,6048.55,5425.51,5810.64,5856.85,5712.41,5423.39,5503.49,5700.65
,F,5729.83,5618.53,5473.59,5323.57,5254.01,5004.84,4998.83,5114.73,5618.35,4958.28,4986.38,5105.67
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1813140,1183990,1689630,1831020,1970830,1693910,1438780,1098480,1230130,850838,1020440,834699
,B,1156640,1092620,1232180,1015380,1260130,1269770,897335,907609,824190,578115,572971,474480
,C,398467,360872,399443,350800,395552,425182,210297,213949,213911,105170,128590,103920
,D,676109,781443,929526,772020,925025,917592,833847,722998,952265,484450,526450,652026
,E,409854,306778,401675,483118,516754,477904,308723,254389,282459,142086,151445,361609
,F,196495,229470,214495,177479,224034,195369,86220.5,99509.5,104087,63359.1,65811.2,185230
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
