Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-29-2019_10-51-08 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5635.25,4982.13,5464.02,5470.18,4978.31,5522.77,5467.96,5522.03,5849.19,14289,13783.4,15315.3
,B,4993.86,4820.53,4496.51,4619.82,4637.75,4667.8,5084.94,4871.71,4977.53,12166.1,11563.7,10788.7
,C,4745.71,5008.1,4820.03,4983.08,4785.33,4723.65,5134.55,5027.23,5159.14,17171.6,23586.6,21099.3
,D,4240.25,4427.37,4577.48,4526.88,4393.44,4599.1,4714.31,4737.33,4908.42,11507.5,11970.8,12993.1
,E,4423.79,4368.41,4230.85,4401.42,4228.57,4194.41,4430.06,4507.43,4767.59,8842.18,9123.31,10259.8
,F,4233.5,4112.19,4134.83,4206.87,4196.22,4564.71,4401.8,4680.74,4423.61,5125.37,5158.99,5168.36
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,2481880,1320630,2516320,2528290,2260280,2557760,2719580,2464260,2806770,4640440,4390600,4495130
,B,3164660,3015910,2688250,2772520,2868700,2837860,2835160,2688000,2679910,5937950,5533350,5000940
,C,514606,548680,573507,536471,550351,620212,586078,651751,586691,2382210,2717890,2655550
,D,820119,1029680,1230540,1243790,1216190,1275090,1133820,1230420,1289630,2615720,2703770,2724320
,E,383539,414774,452445,449498,479735,424952,457065,418920,462533,1775030,1697260,1638630
,F,132059,141148,140547,136556,137425,141968,105539,77965.8,97274.2,393076,379711,369518
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
