Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-29-2019_10-45-37 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,6401.8,7946.31,6137.77,5132.91,5643.44,6048.74,5629.33,5298.43,5003.05,5420.29,5413.63,4903.69
,B,4810.37,5059.08,4816.25,4627.53,4714.88,4916.51,4548.85,4714.7,4586.71,4561.09,4492.55,4464.33
,C,4672.52,5595.08,4685.42,4501.12,4626.58,4942.36,4648.14,4659.22,4466.35,4610.91,4466.16,4361.54
,D,4696.35,5396.85,4631.71,4380.96,4539.8,4758.71,4289.12,4411.56,4386.01,4378.83,4252.71,4262.5
,E,5356.72,5234.48,4529.01,4604.32,4466.58,4851.49,4369.41,4063.45,4173.09,4483.92,4325.21,4104.15
,F,5430.76,5345.65,4418.08,4324.93,4430.39,4427.78,4339.2,4428.6,4456.26,4262.6,4221.56,4310.16
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,3173470,3519520,2494480,2031770,2502770,2916330,2587980,2199050,2061370,1982900,1999160,1840390
,B,2536550,3103250,2654270,2477330,2356710,2959360,2704460,2832810,2420870,2363910,2274520,1980260
,C,366607,517352,412521,447938,458063,526846,456763,467139,427896,385061,390879,379640
,D,1353120,1892150,1138260,1062500,1222270,1416050,1061640,1184280,1190380,1034840,968648,828394
,E,339238,521212,402597,460889,482395,572867,447174,380014,409669,439457,426781,486803
,F,302828,322035,319123,346845,361513,322743,293023,290930,246067,214178,216602,221240
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
