Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-30-2019_3-15-35 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,8336.5,10017.9,8029.33,6455.79,7145.98,7361.54,6851.48,6229.6,5921.53,6226.83,6564.79,6009.76
,B,6409.07,6449.01,6004.54,4878.99,4973.04,5208.83,4757.01,4852.78,5028.22,5112.96,4870.13,4840.78
,C,6266.99,6737.03,5876.46,4881.51,4937.84,5227.68,4923.17,4924.9,4676.2,4784.52,4794.61,4820.79
,D,6177.02,6886.87,5828.78,4748.56,4751.79,4971.87,4441.36,4527.84,4563.98,4579.61,4612.84,4447.36
,E,6632.31,6764.04,5657.29,5034.04,4842.21,5210.28,4678.84,4254.63,4434.77,4779.25,4650.47,4478.69
,F,6340.47,6202.64,5230.18,4587.86,4570.91,4499.66,4379.34,4470.3,4501.74,4318.38,4273.36,4379.49
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1553340,2132310,1619290,1422870,1670740,1763170,1703630,1437960,1301350,1488010,1451610,1268730
,B,986952,963878,927537,910819,802722,1028070,909364,901177,958553,877157,877642,735441
,C,529113,628799,618117,525668,548630,610981,524211,530274,468025,444558,437847,430572
,D,948819,1257690,1013080,846145,940493,1023410,795150,907401,868543,765902,743449,668356
,E,503272,670767,507810,497772,465892,532034,426359,374231,376025,444259,417606,417010
,F,558851,570913,453229,381326,364667,299926,279525,272954,225654,193663,198352,200833
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
