Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-29-2019_8-46-56 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,6360.62,7529.18,5791.06,4797.75,5248.41,5577.71,5266.89,4943.39,4649.29,5037.04,5048.14,4620.24
,B,4641.76,4757.78,4497.36,4342.65,4430.12,4564.13,4235.95,4360.21,4189.61,4140.44,4095.65,4268.47
,C,4475.82,5209.84,4349.13,4213.35,4316.93,4558.73,4283.92,4300.98,4124.59,4208.36,4122.83,4146.36
,D,4455.04,5002.66,4277.32,4111.7,4235.49,4406.55,3959.18,4056.43,4056.26,4030.42,3936.46,4048.43
,E,5485.74,4873.34,4287.22,4292.4,4181.27,4525.98,4048.94,3776.84,3883.05,4146.41,3992.08,3988.98
,F,5525.17,5445.9,4178.6,4112.04,4226.37,4220.94,4107.72,4225.48,4227.7,4083,4030.09,4258.87
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,2890600,3186950,2265010,1862080,2277930,2699900,2414770,1967450,1901970,1786700,1736960,1686910
,B,2412670,2533280,2376590,2348580,2235180,2708040,2463930,2733020,2083950,2134830,2080800,1940830
,C,362997,513041,387881,412200,438264,506793,437034,455417,404075,361759,381012,371277
,D,1269020,1668720,1011790,954245,1155240,1241490,965831,1056680,1066440,933334,900366,765958
,E,354599,551382,410512,462532,501625,589882,433904,371256,404480,429067,418097,451981
,F,327253,338089,334160,371346,373430,329341,305704,289418,246873,219421,214394,221429
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
