Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-28-2019_10-41-43 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5725.63,6996.36,5376.35,4510,4962.81,5201.24,4722.83,4595.27,4291.42,4711.31,4631.09,4282.18
,B,4287.68,4593.73,4352.54,4183.26,4278.79,4495.84,4108.63,4241.23,4077.08,4005.54,4016.92,4006.47
,C,4207.51,5153.65,4328,4113.59,4217.9,4482.83,4197.46,4201.72,4022.63,4094.76,4044.56,3960.83
,D,4214.16,5057.25,4284.5,4036.22,4203.47,4347.95,3949.72,4048.75,4078.23,3980.57,3841.92,3828.8
,E,4262.82,4910.25,4298.21,4234.13,4149.75,4483.52,3999,3768.49,3893.53,4046.98,3866.06,3703.37
,F,4631.78,4317.33,4267.54,4161.88,4276.12,4258.15,4174.42,4258.17,4276.85,4071.2,4029.79,4117.14
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,4438250,4682320,3383460,2832600,3342790,4163670,3463160,2824560,2653130,2430480,2419600,2232650
,B,4110620,5801700,4638740,4566330,4297600,5958760,5030980,5076360,3947100,3888530,3801390,3289070
,C,335424,567442,426014,444567,493888,571849,484281,517058,469582,390336,413698,410653
,D,1649620,2605830,1403620,1255290,1526440,1774760,1363680,1469420,1386290,1328780,1129650,1030060
,E,375874,619633,479577,522577,599570,759913,486994,416032,493425,466792,452772,418219
,F,572405,565751,506783,581364,585257,558521,506339,498955,426972,351540,359933,362144
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
