Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\Trt_Eto13.0h_RealTime-Glo_4-17-2019_5-08-49 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5120.91,5070.48,4908.68,5180.17,4626.67,4192.55,4482.28,4296.41,4462.68,4194.21,4420.77,4267.82
,B,4984.01,4919.89,4558.37,4642.01,4595.75,4672.69,4515.99,4299.93,4396.27,4466.01,4242.8,4182.67
,C,4520.14,4396.96,4274.7,4731.56,4254.84,4263.49,4311.21,3999.81,4159.27,4175.12,3964.05,3946.19
,D,4319.76,4275.75,4187.56,4104.06,3998.39,4224.45,3958.81,4097.06,3910.86,3930.72,4037.23,3873.64
,E,4759.6,4279.78,4504.87,4450.94,4453.42,4240.17,4249.28,4139.26,4443.17,4245.65,4167.8,4076.48
,F,4185.53,3989.71,3931.28,3964.84,4075.31,4375.62,3964.41,4033.72,4247.13,3955.43,3995.32,4113.13
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1292910,1476240,1404650,1254790,1067100,867045,849368,612155,776324,564183,692606,637592
,B,2809210,3219450,2738450,2365430,2439440,2287010,2034140,1710760,1727760,1763510,1575050,1519690
,C,404040,382840,360456,385129,331037,338117,240366,217189,263296,165561,154231,150813
,D,1040170,1205090,1011360,863692,769465,981090,624863,616974,537150,479807,467314,402784
,E,639227,631950,600659,520853,630274,561511,376305,347752,380222,297561,294968,264303
,F,186094,153664,156635,145472,142816,141969,79349.8,78737.9,95188.9,64350.5,78168.4,64852.8
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: RealTimeGlo assay, tortoises and TH-1, Etoposide treatment.
 Started aprox one hour after treatment.
