Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-29-2019_6-16-11 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,7835.37,9566.58,7454.33,6149.73,6820.45,6258.8,5975.84,5389.34,5201.4,5501.2,6346.36,5778.79
,B,5849.72,5959.04,5525.76,4783.18,4871.19,5129.18,4627.68,4748.29,4792.4,4731.97,4690.3,4655.58
,C,5691.07,6333.67,5340.96,4716.23,4828.61,5111.07,4805.17,4796.13,4582.87,4686.64,4660.96,4648.71
,D,5658.68,6288.13,5350.53,4622.95,4707.79,4918.87,4464.87,4494.65,4530.9,4426.04,4503.95,4377.4
,E,5974.92,6163.57,5147.53,4843.07,4798.23,5025.68,4496.05,4192.08,4271.21,4616.91,4483.58,4295.52
,F,5849.68,5740.03,4916.29,4489.87,4529.01,4477.4,4371.85,4462.72,4482.04,4292.63,4247.52,4345.62
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,2495740,3023530,2194210,1900470,2263670,2482000,2118450,1824160,1755510,1727870,1769800,1622980
,B,1889460,2098110,1973870,1901290,1775010,2218030,1993840,2108720,1859420,1770590,1730100,1511710
,C,369569,537704,471885,454454,474978,524920,467200,468461,412308,383565,397658,421238
,D,1120170,1716120,1134250,998818,1139640,1247810,989980,1083860,1070870,935860,904950,811431
,E,375866,543934,413092,454088,459017,540779,434104,375027,388644,437643,416162,437984
,F,355564,392317,347859,334296,328875,305948,301191,273239,227215,199950,200438,202798
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
