Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-30-2019_6-12-33 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,7487.28,5874.33,7068.68,6981.89,7326.18,6543.58,7185.22,5980.32,6854.58,6119.19,6694.57,6695.2
,B,5993.12,5460.7,5953.62,5842.79,6073.72,5731.17,5620.7,5447.72,5477.88,5634.74,5717.2,5648.97
,C,6207.65,5592.84,5945.39,5815.02,5887.01,5817.64,5716.81,5450.33,5796.86,5915.68,5909.2,5703.09
,D,5949.64,5791.96,5984.37,5892.08,6073.93,5517.96,5885.83,5686.38,5927.41,5776.28,5772.95,6322.18
,E,6001.78,5592.07,5977.07,6156.28,6090.84,5453.38,5843.47,5706.39,6013.55,5412.88,5509.56,5264.15
,F,5735.5,5651.49,5477.16,5333.69,5297.39,5028.44,5023.82,5123.65,5655.61,4968.65,4996.8,5118.08
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1773420,1151450,1643550,1780180,1967550,1592350,1408110,1108290,1203980,887124,1040120,862583
,B,1106590,1047190,1166560,1080330,1298170,1185490,876685,886275,823374,564817,575107,459290
,C,382260,355462,395947,353648,402038,423416,225520,221396,221085,106678,129952,112832
,D,676833,790559,927556,755666,860813,933211,820743,746998,917659,465037,519553,638133
,E,391374,306995,398859,503670,533826,472967,307163,262880,287653,151646,154103,367977
,F,195128,219545,220295,172852,209680,184256,82781,98775.1,109159,60686.3,62652.5,184864
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
