Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-28-2019_11-52-03 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,4895.19,4644.12,4889.32,5034.25,4590.15,5095.89,5275.24,5360.45,5554.74,7949.71,7879.98,8365.03
,B,4526.24,4464.69,4148.91,4254.22,4262.43,4296.33,5350.72,5181.01,5299.37,8587.28,8588.73,8099.35
,C,4614.48,4628.74,4459.72,4617.34,4408.63,4309.81,4798.77,4731.89,4834.95,9398.78,10074.7,11006
,D,4087.62,4156.17,4304.06,4201.02,4113.18,4275.32,4734.87,4716.29,4849.46,6424.03,6110.38,6356.73
,E,4123.41,4112.29,4010.6,4150.66,3973.7,3929.24,4287.44,4363.48,4634.3,6350.55,6348.65,6485.03
,F,4098.69,3966.76,3981.45,4057.89,4035.66,4336.92,4319.87,4497.55,4321.63,5306.81,5411.85,5393.04
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,3545330,1792750,3497010,3667450,3239790,3550190,2141530,2071800,2236460,5054240,5159340,4837930
,B,5656120,5262370,4401290,4569530,4955700,5197520,3617270,3251890,3091020,9527160,9988680,9130990
,C,671505,663431,681200,592231,674814,737295,100526,183203,141243,1795860,1631720,1785210
,D,1001960,1216280,1523960,1570250,1490240,1521240,779171,862264,1024790,2590290,2164110,2230590
,E,459822,554850,551851,502229,579155,505310,50331.9,40936.3,60705.4,1146910,1006270,912859
,F,116101,120183,129208,109650,113059,121953,1251.08,760.03,2032.21,280080,199035,214458
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
