Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\Trt_Eto37.5h_RealTime-Glo_4-18-2019_5-11-53 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5302.9,5224.72,5037.97,5303.3,4723.02,4240.29,4626.41,4439,4561.54,4347.59,4584.95,4405.84
,B,5138.57,4964.13,4656.46,4715.65,4648.78,4693.31,4571.68,4354.49,4563.18,4608.61,4384.42,4405.86
,C,4801.46,4537.16,4354.25,4782.2,4306.74,4310.28,4340.32,4112.38,4193.67,4338,4134.21,4104
,D,4560.71,4342.27,4312.06,4185.22,4049.44,4263.35,4063.91,4192.02,3999.93,4043.55,4130.52,4029.8
,E,4925.51,4418.11,4612.4,4520.46,4495.49,4343.49,4318.46,4185.99,4517.44,4307.78,4329.15,4175.67
,F,4292.05,4028.74,3979.26,3982.8,4078.53,4372.52,4020.6,4031.18,4304.12,3957,4049.84,4124.75
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1056370,1195230,1127270,1095890,919218,801888,671471,520000,622132,441766,532183,483482
,B,1577680,1626600,1495680,1425840,1554890,1300390,1134990,1031580,1108240,995596,941809,947481
,C,408720,388258,367983,385000,356505,346162,223842,210713,245928,159902,154027,151919
,D,938764,1053890,936381,840936,762488,883574,580667,602163,532865,501147,478153,466828
,E,529351,530989,516472,490793,579948,500332,302318,291317,313077,243733,227102,213673
,F,213497,206581,211418,194442,188801,196983,114234,102137,131737,79050.4,89012.3,80253.1
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: RealTimeGlo assay, tortoises and TH-1, Etoposide treatment.
 Started aprox one hour after treatment.
