Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-30-2019_4-49-19 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,6265.1,6350.1,6090.32,5882.57,5371.72,5938.4,5823.09,5815.92,6445.66,15811.7,15105.5,16909.2
,B,5576.71,6219.22,4999.15,5052.46,5033.64,5033.32,5330.84,5081.24,5213.67,13159.7,12724.3,11769
,C,5999.02,5461.3,5322.51,5486.75,5280.42,5298.32,5843.92,5642.44,5977.12,17471.1,24675.7,22098.1
,D,5141.7,4768.96,4996.01,4919.29,4779.91,4914.03,4954.6,5001.9,5219.83,12271.8,12916.6,14346.4
,E,4890.26,4878.73,4630.38,4787.77,4630.29,4594.61,4756.68,4839.69,5106.63,9248.72,9702.94,11177.3
,F,4544.9,4342.42,4400.08,4475.53,4461.45,5035.45,4637.25,4962.88,4677.32,5677.46,5633.34,5666.31
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1495260,1116560,1676980,1657100,1542050,1725230,2003420,1912630,2008340,3415900,2953060,3099190
,B,1117820,1115250,1148230,1048150,1093730,1126210,1156530,1084090,1110020,2577830,2401360,2064370
,C,627117,672158,740221,655782,688875,766753,770554,834023,795864,1441850,1978150,1771490
,D,796563,897445,1039630,1013400,996277,1059700,986431,1016950,1045710,1577810,1713700,1737660
,E,419424,482263,441315,467888,478517,425981,488711,451992,476721,1070320,1043500,1034970
,F,231612,230529,235718,226543,224697,252004,197183,163761,176297,287450,276791,267329
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
