Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\Trt_Eto27.0h_RealTime-Glo_4-17-2019_6-41-06 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5310.53,5212.27,4992.07,5287.67,4674.56,4212.62,4518.33,4375.44,4547.12,4265.37,4532.97,4397.9
,B,5064.23,4920.66,4622.84,4669.48,4617.04,4693.21,4586.65,4377.95,4586.93,4605.75,4348,4356.14
,C,4646.86,4473.86,4309.94,4746.5,4276.72,4247.57,4342.84,4090.9,4223.46,4326.52,4083.7,4088.18
,D,4456.2,4305.5,4248,4141.81,4011.95,4251.2,4054.21,4177.53,3999.33,4094.58,4146.64,3983.53
,E,4855.9,4339.93,4580.55,4497.18,4488.13,4295.04,4324.08,4201.72,4533.3,4316.17,4276.41,4169.99
,F,4222.58,3993.35,3957.75,3973.5,4078.72,4393.27,4010.75,4044.17,4281.83,3962.65,4031.98,4137.48
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1130220,1254480,1178480,1141310,924478,800531,693481,541050,636914,445052,557716,493533
,B,1921140,2085530,1928630,1745290,1749790,1597560,1363870,1225570,1326870,1234860,1116560,1125180
,C,390090,359373,338016,367375,335308,314613,222343,199232,237923,147440,142455,137588
,D,968946,1083340,924498,798373,762238,865095,552060,600862,495872,468912,430911,401537
,E,535721,548360,531443,472634,573614,498654,314965,289480,327945,245962,247430,213310
,F,203703,177574,184091,191610,168443,170091,104039,86739,111736,69809.7,77582.8,69968.8
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: RealTimeGlo assay, tortoises and TH-1, Etoposide treatment.
 Started aprox one hour after treatment.
