Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\Trt_Eto18.0h_RealTime-Glo_4-17-2019_10-11-18 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5227.91,5128.47,5025.15,5272.7,4733.84,4272.16,4598.52,4461.16,4612.94,4359.87,4587.65,4393.56
,B,5039.41,4982.07,4624.62,4709.07,4673.01,4759.05,4620.64,4408.01,4544.08,4638.69,4400.46,4370.92
,C,4606.61,4440.17,4318.65,4778.51,4305.69,4326.43,4390.9,4078.76,4238.62,4289.49,4072.49,4062.93
,D,4378.21,4310.23,4236.38,4144.86,4032.32,4272.22,4045.71,4166.2,3971.62,3998.34,4109.92,3952.8
,E,4826,4294.7,4536.88,4482.2,4497.4,4272.7,4314.32,4178.07,4487.09,4288,4210.03,4114.58
,F,4196.76,4022.21,3947.47,3972.04,4092.89,4355.71,3994.02,4047.41,4255.05,3957.08,4013.79,4125.66
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1251820,1384340,1283170,1241660,1034380,865376,804756,595795,719018,505775,620485,561303
,B,2480690,2743380,2407810,2043870,2091030,1931960,1726630,1484920,1552750,1536950,1369300,1342520
,C,410102,364987,345220,374018,328186,321572,224841,206973,247164,155162,145861,142448
,D,1038940,1112220,997150,838697,724306,921199,575298,596185,509889,472968,458822,394615
,E,570538,590281,565458,497835,582058,553216,342787,320684,364749,270572,257440,232550
,F,202096,167422,166610,151660,153832,149045,90705.7,79203.7,100293,68936.5,76324,66131.3
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: RealTimeGlo assay, tortoises and TH-1, Etoposide treatment.
 Started aprox one hour after treatment.
