Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-30-2019_6-08-34 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,7787.65,6259.92,7457.44,7336.69,7630.5,6909.73,7632.07,6509.9,7114.41,6174.87,6918.38,6869.1
,B,6344.2,5762.21,6360.49,6083.62,6334.03,5980.58,5882.19,5647.82,5708.39,5856.06,5964.19,5784.04
,C,6567.3,5831.74,6297.83,6192.04,6169.18,6115.33,5905.01,5638.95,6059.14,6153.34,6140.3,5957.76
,D,6287.57,6075.07,6289.64,6243.08,6327.79,5734.88,6167.25,5889.11,6096.4,5988.85,5988.12,6569.2
,E,6326.08,5954.79,6288.04,6545.15,6396.77,5679.41,6059.84,5691.81,6418.61,5637.79,5747.77,5785.67
,F,5913.79,5900.53,5676.7,5561.41,5508.64,5125.91,5088.06,5224.25,5816.09,5082.55,5132.3,5118.34
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1363670,974856,1337360,1527400,1587500,1343570,1197740,1044830,1013170,789974,850209,770332
,B,810514,728075,795214,771693,893354,835159,597392,573356,520209,373465,372042,332180
,C,470215,392306,476941,443820,428355,486368,260972,259052,249892,127834,155377,134581
,D,699845,723668,835798,705018,710742,647104,661777,579322,624253,411811,447541,526851
,E,451650,395188,460104,521893,541571,469135,318589,269069,297218,169940,175588,391573
,F,264381,328496,275348,218478,257585,182999,80535.4,93701.6,121014,59548.3,62301.3,184981
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
