Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\Trt_Eto20.0h_RealTime-Glo_4-17-2019_12-10-25 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5206.04,5108.4,5004.39,5258.01,4703.62,4217.99,4503.28,4364.04,4563.63,4326.29,4539.94,4349.38
,B,5072.55,4975.62,4616,4702.83,4632.84,4702.89,4551.26,4330.31,4494.54,4584.05,4329.08,4329.45
,C,4662.25,4457.56,4320.99,4763.36,4283.75,4288.31,4342.73,4039.08,4186.74,4233.95,4015.41,4006.39
,D,4414.82,4332.95,4241.21,4142.9,4022.63,4249.2,4003.61,4133.43,3946.59,3984.23,4074.78,3912.99
,E,4861.54,4289.8,4557.06,4486.44,4488.65,4263.05,4297.94,4151.74,4470.96,4262.08,4190.19,4093.52
,F,4219.38,4028.66,3953.99,3974.48,4080.7,4352.52,3980.22,4025.85,4246.63,3933.17,3989.33,4079.91
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1173110,1310620,1272380,1210430,984990,828176,758844,561964,676514,481246,592327,551191
,B,2258120,2638780,2304260,1967540,2015790,1826820,1634410,1390230,1490030,1436710,1277760,1263270
,C,392647,360015,342759,375954,334210,317171,220343,205021,244568,152627,146902,139216
,D,984957,1096510,938283,847065,749218,918778,579336,574864,497542,472265,425774,397895
,E,554523,591497,546492,489817,571137,518276,335176,309705,353136,259584,250018,226194
,F,191870,163456,171417,153738,153976,147062,93885.4,80126.1,103123,66017.5,78423.4,68662.6
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: RealTimeGlo assay, tortoises and TH-1, Etoposide treatment.
 Started aprox one hour after treatment.
