Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-30-2019_4-27-43 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,6151.1,6267.99,5973.81,5754.61,5255.06,5803.97,5709.38,5697.3,6318.18,15544.4,14879.4,16722.7
,B,5433.59,6128.21,4851.29,4903.22,4889.99,4896.92,5182.63,4942.97,5057,12768.8,12409.8,11567.9
,C,5885.34,5306.59,5147.2,5315.65,5101.35,5123.96,5666.06,5468.26,5754.32,16511.6,23776,21326.8
,D,5029.9,4628.22,4818.52,4746.67,4594.73,4733.93,4792.77,4818.33,5031.34,11608.9,12339.3,13810.5
,E,4749.83,4707.02,4427.63,4601.87,4434.2,4406.48,4572.88,4658.9,4920.15,8761.44,9257.9,10733.9
,F,4420.24,4205.21,4244.19,4311.79,4297.84,4773.93,4481.76,4761.7,4519.33,5365,5413.12,5485.94
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1520180,1154550,1683850,1678800,1560620,1736400,2037070,1914600,2117270,3468520,3105200,3172200
,B,1209830,1135920,1136190,1113620,1108090,1138490,1182190,1132950,1129340,2498280,2409390,2108220
,C,611215,666810,722939,676933,670982,761180,770736,837467,788839,1540040,1944330,1736460
,D,781875,873279,1016100,1009630,981482,1038480,991802,1014900,1053390,1560540,1717940,1729330
,E,414690,451228,433669,458454,465569,422457,475896,440725,476103,1035400,1110220,1038470
,F,220118,224976,221312,219064,218706,249655,194557,160287,173444,252091,269001,260644
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
