Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-30-2019_5-21-06 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,6179.33,6273.95,5996.87,5770.26,5263.41,5873.04,5737.93,5697.27,6308.66,15464.7,14681.1,16386.5
,B,5452.37,6163.16,4869.21,4923.53,4920.35,4936.8,5247.84,5001.42,5104.81,12835.8,12417.3,11511.1
,C,5908.47,5302.56,5180.6,5345.76,5148.51,5152.54,5737.09,5539.66,5847.08,16654.7,23894.7,21403.9
,D,5043.8,4629,4847.29,4779.62,4617.64,4770.19,4821.88,4866.54,5092.48,11761,12451.7,13876.4
,E,4761.25,4724.32,4459.98,4627.05,4497.9,4445.24,4607.19,4695.1,4960.2,8837.18,9302.89,10809.8
,F,4427.49,4207.48,4262,4338.77,4325.06,4848.57,4509.93,4799.12,4550.89,5410.27,5447.63,5526.61
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1427900,1082840,1597660,1612510,1515290,1647400,1959470,1859630,2000950,3444920,3065430,3259220
,B,1237670,1097400,1109560,1019300,1073290,1111810,1134500,1050270,1070760,2475860,2366870,2031100
,C,601022,657287,708927,666814,669555,764261,774764,829720,823081,1518980,1966550,1782800
,D,752349,896097,1003760,997522,996904,1061100,990780,1017070,1052970,1538830,1677810,1701280
,E,408997,459326,428627,456877,465666,417764,474470,441493,467591,1038650,1038370,1014950
,F,225299,223609,226015,222396,220132,251299,194272,162681,174009,260871,269082,256986
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
