Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-29-2019_5-52-17 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5203.1,4048.76,5034.27,5219.7,5416.2,5074.42,5243.09,4592.22,5300.49,4497.63,5064.45,5036.6
,B,4134.65,3881.45,4221.43,4215.49,4495.58,4243.04,4127.9,4193.66,4080.98,4317.01,4337.39,4356.66
,C,4145.26,4002.68,4190.42,4236.61,4396.86,4057.71,4318.63,4123.89,4383.97,4464.85,4475.85,4325.05
,D,4114.27,3969.01,4253.8,4071.44,4437.53,4187.74,4431.33,4181.28,4533.91,4499.92,4424.48,5075.77
,E,3931.76,3792.74,4258.54,4374.93,4435.37,4235.14,4451.49,4046.09,4127.26,4158.62,4256.41,4312.52
,F,4150.43,4000.56,4073.2,4044.12,4028.68,4094.21,4185.49,4066.84,4567.93,3979.75,3911.14,4514.95
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,3370460,2061760,2958860,3083230,3214770,2617790,2100200,1395500,1561120,773811,1084260,746195
,B,2996880,2570660,3163860,2820480,3386800,3008450,1881250,1916460,1807200,1212770,1258290,807760
,C,428462,399429,421011,357976,437273,397706,181431,169488,164799,79870,91037.7,85155.2
,D,1100210,1267700,1726300,1424060,1851350,1687350,1489920,1216280,1562360,630323,712945,853425
,E,525831,469707,507110,581600,622876,505151,270726,229040,258885,116690,115894,293151
,F,280456,312325,300957,248377,269010,261224,120938,137133,191650,90801.6,89239.3,231228
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
