Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-29-2019_11-50-20 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5649.71,4977.1,5717.82,5520.84,5009.96,5574.55,5534,5586.97,6030.25,15323.8,14717.4,16485.9
,B,5042.29,4798.59,4482.66,4642.76,4617.01,4694.56,5073.96,4909.03,5091.85,12970.9,12583.2,12057.7
,C,4861.11,4984.02,4770.27,4950.23,4739.56,4717.44,5149.38,5029.74,5261.1,18439.2,23659.5,22829.3
,D,4251.84,4412.31,4602.73,4480.47,4365.89,4590.66,4674.9,4727.25,4897.27,11613.6,11747.9,12428
,E,4435.19,4346.36,4208.5,4371.62,4229.82,4185.27,4431.04,4498.45,4742.54,8709.99,8918.66,9564.47
,F,4208.3,4071.34,4105.27,4185.27,4171.96,4580.07,4389.18,4681.6,4433.29,5154.59,5199.67,5236.03
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,2510500,1309060,2462530,2400770,2166550,2409720,2531940,2650880,2673740,4292400,4162820,4019090
,B,3064500,2940620,2528390,2499560,2661230,2733120,2681790,2487170,2481900,5346530,5089610,4463560
,C,539951,540980,567602,520988,531732,605162,567275,617289,561658,2206390,2490580,2427210
,D,849759,1022770,1176580,1226710,1176310,1229520,1115830,1196620,1183440,2361150,2494850,2527650
,E,374930,418556,408589,445148,464977,415422,447794,410517,453381,1640840,1598350,1558920
,F,132546,146106,142504,136351,136531,146032,107674,85125,118248,371917,366483,356530
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
