Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\Trt_Eto9.5h_RealTime-Glo_4-17-2019_1-39-14 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5006.36,4977.61,4830.81,5101.5,4637.32,4239.33,4533.54,4370.35,4532.31,4234.72,4451.92,4273.73
,B,4904.84,4845.13,4505.89,4601.8,4587.72,4671.18,4522.58,4319.92,4406.68,4510.93,4293.21,4208.93
,C,4444.28,4313.93,4227.13,4706.37,4243.79,4251.41,4324.14,4016.41,4199.31,4218,3996.78,3959.45
,D,4265.37,4232.66,4142.89,4059.55,3981.67,4217.79,3993.53,4105.13,3915.22,3929.7,4028.42,3887.53
,E,4672.26,4249.14,4457.11,4402.58,4438.75,4221.65,4236.22,4138.97,4444.09,4237.34,4169.71,4061.88
,F,4143.9,3965.3,3906.37,3942.32,4067.24,4378.97,3966,4036.11,4241.61,3952.59,3977.07,4110.39
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1412930,1572950,1485460,1433890,1174680,934898,955042,666586,843608,603746,732636,662621
,B,3279930,3808380,3110360,2738160,3033260,2609990,2507840,2034420,2055020,2060790,1826450,1747440
,C,465767,419194,391107,405122,351166,368346,258880,236952,289847,177656,157973,155652
,D,1082420,1365810,1090330,948473,846257,1070690,676382,673910,579169,486193,458147,392373
,E,652240,692726,654950,558546,664961,588275,401880,376210,388681,323709,304901,274752
,F,199048,155240,158583,144583,144381,141601,88798.3,75845.3,93173.7,64131.1,77153.4,64143.2
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: RealTimeGlo assay, tortoises and TH-1, Etoposide treatment.
 Started aprox one hour after treatment.
