Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-29-2019_11-43-54 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,6474.08,8005.65,6157.15,5132.51,5785.5,6023.68,5668.39,5337.04,5116.64,5344.92,5420.86,4947.65
,B,4877.11,5112,4868.46,4630.7,4743.45,4897.86,4547.11,4659.62,4533.84,4529.02,4500.15,4509.28
,C,4751.03,5623.43,4694.97,4522.49,4648.92,4952.08,4680.92,4700.87,4460.85,4584.67,4519.15,4497.93
,D,4766.06,5423.15,4668.99,4496.49,4577.61,4754.93,4260.33,4383.03,4381.09,4404.31,4354.99,4267.38
,E,5394.01,5260.49,4539.14,4635.22,4514.69,4870.19,4469.12,4153.82,4166.38,4508.91,4406.86,4151.96
,F,5545.82,5428.81,4417.82,4329.02,4429.35,4422.79,4324.65,4418.73,4443.61,4256.97,4216.85,4314.55
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,3301430,3479190,2524430,2010570,2426840,2933270,2413350,2239470,2132860,1973570,1949870,1869950
,B,2771770,2978310,2700890,2373910,2210100,2781730,2538980,2674610,2428150,2376630,2233590,2034990
,C,444282,531311,401996,432344,464650,528632,459344,457540,411461,381753,409784,409614
,D,1533230,1877860,1176390,1066660,1184640,1375120,1029050,1154460,1146500,1017600,957599,822168
,E,359432,537586,396215,468599,490134,580142,437167,374788,405577,435261,421547,477947
,F,422490,412366,321475,341328,336750,313714,306521,291326,236131,230684,213807,214184
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
