Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-29-2019_8-33-28 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,6199.83,7659.82,5917.23,4980.55,5438.63,5712.26,5403.96,5020.63,4714.21,5103.17,5087.85,4520.7
,B,4633.48,4880.49,4633.94,4474.94,4539.04,4738.36,4383.74,4465.33,4366.4,4275.16,4228.31,4224.81
,C,4494.26,5389.73,4513.8,4319.26,4453.85,4729.76,4456,4452.96,4241.19,4372.87,4235.69,4168.97
,D,4506.76,5187.16,4446.58,4220.12,4352,4560.93,4117.41,4210.42,4193.12,4145.31,4042.23,4065.53
,E,5318.58,5030.95,4414.83,4417.48,4291.3,4640.56,4172.46,3885.22,3978.26,4258.17,4035.08,3924.8
,F,5418.34,5306.49,4265.45,4175.18,4278.94,4275.48,4192.43,4282.61,4304.4,4117.02,4078.84,4183.96
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,3039820,3523150,2370520,2085070,2530310,2951440,2477130,2071950,1985030,1908810,1931560,1709700
,B,2486200,2681690,2506720,2467450,2318320,2873430,2571280,2901340,2335930,2346800,2190040,2036510
,C,380104,545779,398852,428489,457752,527692,458177,462144,403890,380458,397107,385286
,D,1377230,2005230,1162600,1030290,1192350,1398510,1043210,1150840,1119280,1082000,1024130,841067
,E,335517,567158,427462,490660,513422,601217,469383,391041,420111,448133,434795,464094
,F,318557,335157,347382,367011,389063,348976,317146,310167,256065,224790,228714,228387
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
