Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-30-2019_2-53-33 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,6035.92,6222.43,5842.47,5674.86,5169.37,5723.18,5658.12,5677.66,6037.22,15485.8,14970.2,16708.8
,B,5315.62,5803.82,4773.15,4839.8,4822.25,4874.36,5145.72,4936.78,5042.77,12762.4,12317.8,11425.4
,C,5785.26,5238.06,5124.76,5312.38,5037.54,4976.28,5500.59,5332,5580.32,17492.5,24340.6,21829.6
,D,4961.93,4598.84,4805.7,4759.72,4573.59,4765.53,4791.59,4822.61,5032.04,11995.8,12478.9,13826.9
,E,4660.9,4617.66,4431.01,4610.76,4423.56,4395.87,4578.03,4657.86,4901.25,8978.84,9382.72,11121.1
,F,4369.3,4204.92,4266.11,4343,4325.7,4769.71,4506.37,4774.44,4521.66,5355.12,5353.27,5413.5
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1794880,1198470,1961890,1875100,1825430,1994930,2256420,2195850,2368330,4079540,3642190,3659690
,B,1919670,1758820,1773070,1660570,1721900,1784600,1960740,1702830,1740250,3393820,3259020,2870250
,C,555355,609927,643409,590354,561720,687406,688529,753884,689849,1893590,2274970,2174160
,D,793251,946247,1111510,1118600,1094590,1177650,1038290,1099210,1134930,1982220,2076990,2096180
,E,388906,430647,419357,447604,478719,416711,474201,448544,468358,1350210,1295400,1291230
,F,183946,193714,190071,177055,186816,204573,160438,135758,144841,321501,337794,326069
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
