Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-30-2019_4-17-41 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,8033.6,9692.97,7704.27,6350.39,7032.84,7172.5,6642.67,6068.14,5841.05,6217.47,6496.04,5908.85
,B,6063.78,6161.98,5748.4,4819.02,4913.82,5182.59,4741.39,4874.28,4986.95,5084.49,4833.19,4777.7
,C,5897.99,6503.99,5620.99,4797.56,4890.27,5202.95,4913.13,4895.65,4640.53,4807.74,4769.68,4778.18
,D,5872.44,6574.85,5624.2,4678.74,4737.92,4996.96,4467.88,4578.53,4568.8,4549.12,4602.8,4443.19
,E,6299.7,6442.32,5426.95,4966.68,4815.47,5180.97,4631.33,4239.91,4351.19,4733.29,4531.56,4414.97
,F,6091.63,6000.8,5089.38,4564.59,4567.59,4515.88,4400.98,4496.53,4520.66,4328.71,4274.6,4379.97
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1935760,2425210,1771480,1534100,1859480,2191830,1937610,1658600,1593400,1663720,1600440,1420430
,B,1162990,1319760,1246220,1420340,1266960,1604000,1460540,1505930,1360890,1278950,1274880,1069730
,C,313206,534743,450518,480522,505347,562123,498048,492498,446476,422326,414008,426579
,D,833834,1261240,883723,936828,1051060,1165620,854724,1014990,1014890,861568,951105,751590
,E,320130,500676,362266,482052,477223,540302,435587,375106,384324,457608,421880,430299
,F,268352,298810,282477,334913,318600,298890,280448,276972,244246,198203,203516,201876
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
