Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-29-2019_12-51-06 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,4976.69,3854.48,4765.46,4999.17,5133.05,4765.52,4882.97,4444.49,5139.51,4265.38,4878.66,4760.32
,B,3957.48,3699.5,4018.08,4017.52,4275.46,4035.9,3949.79,4017.73,3898.29,4132.62,4169.12,4196.82
,C,3966.35,3818.25,3966.83,4049.05,4185.76,3874.65,4122.03,3922.47,4198.34,4263.37,4247.11,4152.19
,D,3944.67,3740.61,4045.99,3862.93,4208.57,3951.98,4186.3,3973.52,4334.95,4188.5,4225.02,4803.47
,E,3754.15,3622.18,4054.46,4170.43,4213.07,4040.63,4235.44,3829,3989.67,3950.59,4074.97,4130.84
,F,4028.73,3867.73,3934.27,3906.18,3898.5,3960.68,4052.52,3931.31,4346.03,3871.16,3810.62,4401.62
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,4024540,2352210,3966030,3626380,3830100,3021950,2303950,1437410,1711330,743450,1029450,681817
,B,3904070,3209160,4207580,3735000,4500750,3891770,2252340,2272400,2044360,1352800,1433520,850875
,C,465361,428075,443150,369947,479464,418406,175223,165599,158329,77710.8,85074.5,84804.2
,D,1246540,1499670,1936810,1689530,2414620,1982120,1542010,1349700,1725870,625012,721838,848914
,E,517382,501245,539347,575038,658063,493605,255370,204909,224653,110260,112766,265145
,F,389486,430265,423891,338509,375994,364458,162041,185791,264341,117821,118937,329959
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
