Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\Trt_Eto5.5h_RealTime-Glo_4-16-2019_9-39-15 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,4886.59,4859.93,4693.92,4958.98,4438.95,4027.52,4314.91,4212.11,4404.56,4075.87,4294.01,4131.95
,B,4804.3,4708.72,4369.12,4460.7,4433.44,4499.34,4334.64,4162.84,4247.61,4353.89,4180.93,4105.44
,C,4350.05,4087.79,4122.07,4568.04,4134.38,4116.87,4166.99,3877.23,4067.98,4087.61,3872.83,3842.51
,D,4195.12,4140.99,4028.73,3949.13,3873.73,4098.36,3795.38,3960.74,3783.28,3781.22,3888.52,3755.39
,E,4536.68,4159.92,4339.52,4286.41,4316.76,4102.84,4101.91,3996.42,4268.43,4089.4,4033.12,3929.81
,F,4057.95,3889.33,3830.72,3873.08,3992.06,4192.58,3867.04,3945.52,4128.5,3850.37,3854.2,3997.23
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1526550,1747790,1685110,1595430,1206930,927580,939019,649317,848479,520404,678303,588704
,B,4108120,4697810,4291430,3291370,3428020,3272040,2953510,2374400,2402890,2393820,2111470,1916420
,C,518650,445635,415835,460915,367575,399673,272725,237529,304911,179713,162144,158556
,D,1240810,1362560,1128100,972354,863243,1131050,682995,658038,551812,460726,447168,386295
,E,731888,755458,712502,567680,693036,617489,414633,357856,372699,312732,307788,272627
,F,242076,178975,168100,136464,152091,128858,109368,69805.6,87325.2,60383.4,72327.8,61461.1
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: RealTimeGlo assay, tortoises and TH-1, Etoposide treatment.
 Started aprox one hour after treatment.
