Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-30-2019_12-21-37 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5985.75,6231.63,5699.33,5575.05,5080.64,5616.35,5463.4,5451.78,5784.88,14695.4,14194.7,15988.4
,B,5209.86,5659.49,4639.59,4726.62,4710.05,4741.85,4988.01,4762.16,4859.24,12169.8,11767,11015.8
,C,5723.22,5124.91,4974.91,5152.04,4888.74,4835.31,5289.49,5129.97,5343.35,16778,23365.7,21128.8
,D,4898.02,4486.4,4654.47,4629.75,4459.6,4633.93,4655.65,4679.92,4866.16,11532.9,12054.6,13425.9
,E,4575.54,4498.08,4316.45,4495.35,4314.86,4276.62,4453.88,4512.59,4750.48,8711.49,9119.5,10843.3
,F,4297.78,4116.01,4174.84,4242.39,4227.46,4643.82,4398.67,4661.68,4402.76,5192.85,5230.87,5306.03
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1987670,1285590,2038100,2036930,1884240,2075230,2349510,2180020,2327850,3958930,3724100,3730180
,B,2026320,1993000,1788900,1710140,1800820,1831420,1823440,1765860,1753220,3594760,3391710,2983670
,C,575981,594824,630491,577930,590923,666058,665251,709051,666155,1960620,2336000,2287060
,D,853228,962832,1132660,1118530,1115200,1168560,1048520,1110290,1076080,2025600,2056460,2211310
,E,401234,448984,419606,448614,461411,428249,467167,429214,454512,1391730,1338450,1350210
,F,187417,180576,179809,177446,179658,190926,154900,126714,133923,317775,338817,340643
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
