Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-28-2019_9-05-08 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,4479.65,3562.02,4288.6,4527.82,4646.11,4378.67,4459.45,4071.6,4577.51,3868.34,4360.69,4230.21
,B,3724.44,3516.38,3837.58,3860.79,4064.73,3935.48,3844.34,3868.29,3744.57,3950.19,3908.52,3927.17
,C,3752.42,3671.58,3806.62,3906.22,4014.77,3770.12,3971.64,3766.95,4054.91,4038.94,3971.72,3886.16
,D,3796.45,3618.38,3924.81,3717.49,4057.08,3816.96,4041.37,3832.42,4087.46,3979.34,3985.61,4399.22
,E,3634.5,3562.1,3977.48,4068.34,4122.46,3994.19,4114.46,3826.02,3890.57,3891.16,3937.79,3954.38
,F,4013.33,3893.64,3970.65,3944.48,3956.53,4018.36,4100.81,3987.53,4032.96,3919.68,3852.48,4501.83
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,3570340,1752010,3095910,2936560,3282760,2602480,1760480,1021520,1217140,456701,667886,452356
,B,4245410,3267390,4610980,4357170,4740890,4626190,2782170,2482780,2122380,1195530,1355090,678638
,C,309964,301334,290006,242153,333852,279134,110406,101535,99731.7,52382.6,57725.5,55328.7
,D,854019,1245280,1735640,1290040,2098490,1897690,1309650,1136620,1435330,512117,543462,616848
,E,353065,349504,377721,396191,444343,339809,168538,134530,149541,76205,76821.8,185897
,F,358592,393174,384546,319281,342992,338146,144339,171442,328194,102674,113621,343136
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
