Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-29-2019_4-30-53 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,6203.26,7764.78,5916.13,4908.54,5389.34,5569.6,5268.27,4908.18,4623.14,5000.55,5035.34,4485.73
,B,4565,4865.45,4580.59,4437.06,4476.29,4664.76,4295.8,4399.49,4259.4,4208.2,4184.9,4162.71
,C,4457.4,5437.48,4501.3,4291,4412.8,4691.33,4396.55,4422.06,4202.69,4307.09,4197.89,4122.89
,D,4472.48,5223.71,4435.36,4179.58,4336.18,4532.69,4069.98,4182.75,4170.09,4116.22,4002.89,4006.39
,E,5332.66,5069.49,4422.99,4409.21,4282.77,4601.6,4143.15,3854.29,3957.49,4235.03,4023.32,3864.2
,F,5378.04,5271.06,4298.11,4200.37,4295.23,4290.43,4202.48,4284.38,4308.27,4109.59,4072.64,4160.61
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,3615310,4011410,2878730,2429320,2961610,3389770,2867780,2420970,2277580,2058210,2181660,1929640
,B,3071210,3488280,3317260,3305510,3044800,3981220,3506880,3470200,3025910,2900670,2779070,2441460
,C,355859,551816,416182,452102,490919,561704,483612,490896,441441,405648,407984,404042
,D,1520470,2427280,1301780,1196520,1386350,1664470,1215760,1351670,1285850,1261750,1097370,942943
,E,353639,576942,441966,513448,547644,661389,481222,426942,452427,468974,449039,462354
,F,379868,398061,398160,435859,440006,405418,381470,391065,306507,285891,271705,270703
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
