Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-29-2019_12-57-10 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5866.34,7222.76,5552.33,4681.24,5115.02,5367.54,4886.66,4743.35,4446.41,4926.59,4880.27,4447.92
,B,4344.9,4632.29,4369.2,4232.27,4311.68,4535.17,4161.65,4295.29,4161.76,4069.24,4086.14,4064.49
,C,4236.02,5177.65,4323.69,4123.37,4242.77,4511.91,4255.6,4267.38,4053.22,4180.54,4117.35,4016.82
,D,4235.01,5029.78,4260.64,4005.53,4188.73,4339.78,3963.03,4066.15,4062,4004.46,3864.87,3871.22
,E,4724.7,4881.47,4267.01,4209.32,4131.36,4461.02,3991.74,3754.04,3858.33,4047.51,3896.11,3720.94
,F,5066.17,4900.11,4177.12,4077.8,4188.64,4179.08,4113.2,4193.53,4221.56,4031.59,3998.44,4091.23
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,4373350,4830820,3578820,2764400,3462500,4027160,3354570,2854830,2663550,2448370,2557740,2326360
,B,4125520,4468410,3926150,4019590,3885450,5108130,4240120,4514210,3661290,3645280,3467050,3138330
,C,354054,603162,440024,477192,527640,621498,522271,544419,492185,435374,458400,440668
,D,1680390,2549150,1404750,1294340,1533240,1848490,1376980,1434150,1560400,1409970,1205580,1064900
,E,359307,653904,487332,547921,618645,827125,514842,435444,512621,513280,476915,461058
,F,456892,480303,476023,559236,551433,518024,478657,475040,395902,367747,345519,361744
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
