Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\Trt_Eto23.5h_RealTime-Glo_4-17-2019_3-07-51 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5253.95,5168.24,5044.7,5300.87,4751.6,4260.01,4574.13,4455.52,4653.32,4353.58,4617.36,4510.71
,B,5113.28,5005.05,4673.5,4739.14,4677.48,4762.85,4660.62,4432.97,4596.71,4693.43,4448.52,4476.53
,C,4710.91,4492.16,4354.94,4807.3,4316.81,4328.44,4437.26,4128.5,4274.01,4331.08,4107.85,4095.92
,D,4473.22,4364.97,4282.15,4177.03,4057.14,4302.04,4129.44,4204.69,4015.35,4053.21,4148.4,3991.9
,E,4916.22,4322.99,4601.36,4526.76,4530.84,4309.67,4345.57,4201.75,4533.04,4325.63,4267.75,4159.59
,F,4279.04,4056.69,3985.18,3997.97,4108.26,4409.71,4016.89,4059.47,4296.88,3977.02,4036.71,4124.38
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1148470,1293500,1229130,1191460,966076,811840,727919,552663,665407,458991,571420,513444
,B,2244750,2311380,2147810,1821970,1880110,1712450,1532960,1315100,1392190,1335330,1207620,1242790
,C,394309,364040,348348,372927,335698,316674,217423,209028,241847,149431,150324,140061
,D,967208,1091810,935671,824493,737821,888289,569120,572689,492200,469127,430359,401810
,E,542412,564183,542360,488700,579998,506897,325132,296943,352779,259111,242211,219716
,F,193722,169529,177064,162594,157242,161198,96176.5,84547,102065,67634.5,77509.2,67198.5
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: RealTimeGlo assay, tortoises and TH-1, Etoposide treatment.
 Started aprox one hour after treatment.
