Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-28-2019_10-28-38 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,4631.7,4438.48,4683.56,4787.5,4362.2,4848.86,4916.79,5002.02,5153.5,6621.24,6485.53,6785.99
,B,4365.34,4265.04,3988.45,4088.87,4099.21,4145.66,4981.21,4807.24,4861.03,6274.98,6328.32,6217.74
,C,4440.19,4404.84,4247.98,4396.48,4222.79,4140.9,4513.5,4470.96,4539.54,6074.94,6510.77,6718.7
,D,3920.38,4005.37,4129.41,4044.85,3960.34,4134.43,4421.26,4399.57,4494.12,5829.01,5620.75,5842.85
,E,3973.04,3968.21,3891.11,4016.22,3856.42,3819.84,4088.56,4154.74,4406.24,5604.22,5566.03,5683.9
,F,4005.73,3857.92,3882.92,3968.52,3948.77,4175.46,4152.8,4336.16,4146.82,5293.99,5390.05,5411.53
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,3395130,1716220,3341530,3342330,2968810,3299640,1664000,1616280,1733730,3470470,3400380,3231280
,B,5856060,5453280,4371960,4355180,4717080,5091650,3453850,2917480,2763860,7902010,8053340,6780020
,C,637995,581619,613629,507267,584667,632292,40850.9,69478.3,52942.6,727701,531695,720629
,D,848439,1132430,1414760,1417560,1330020,1431590,566401,636541,795750,1329170,1061870,1171840
,E,441852,517926,517095,443023,514829,506443,15501.2,13420.2,19514.4,334130,269871,248336
,F,97700.4,106589,115391,91744.3,94611.3,109488,646.021,545.015,791.032,77112.1,52338.3,59940.7
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
