Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\1_RealTime-Glo_4-29-2019_2-10-43 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,6673.39,5128.28,6216.34,6179.84,6547.94,5998.85,6408,5343.42,6111.89,5443.28,6062.64,5960.88
,B,5227.74,4807.1,5155.67,5194.94,5324.09,5155.46,5016.57,4977.54,4858.32,5060.91,5148.7,5041.45
,C,5428.78,4886.52,5175.48,5080.94,5226.66,5070.82,5099.27,4861.36,5125.45,5222.64,5237.5,5090.44
,D,5114.79,5116.19,5285.32,5074,5373.28,4916.91,5261.27,4931.36,5223.25,5067.3,5096.1,5685.51
,E,5321.04,4764.2,5195.55,5212.39,5181.32,4796.25,5071.3,4498.41,4485.37,4751.85,4793.94,4665.1
,F,5208.63,5037.62,4865.44,4672.94,4597.74,4559.31,4619.13,4501.66,5177.91,4398.49,4257.07,4648.42
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,2840140,2688260,2666820,2536380,2677240,2161070,2086150,1339600,1510170,881890,1123720,841217
,B,2972660,2470810,2877790,2202690,2488190,2351670,1678700,1606010,1562400,1065400,1113900,744849
,C,803211,452069,518955,461494,454714,575063,229591,247263,227796,111460,133567,118339
,D,1346730,1448780,1584440,1700200,1592260,1515560,1318380,1134180,1376780,654952,719637,854278
,E,793148,470398,553630,582646,620824,552706,320203,276236,297597,142585,144893,355870
,F,363158,593547,330046,280315,320558,295834,135544,160231,225947,96945,95056.6,191799
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
