Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-28-2019_11-23-14 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,4842.09,4589.15,4842.71,4963.41,4539.12,5040.18,5209.69,5281.15,5473.84,7439.71,7347.99,7758.48
,B,4501.41,4431.24,4115.7,4220.99,4234.77,4257.24,5297.21,5142.77,5222.17,7597.17,7645.8,7308.41
,C,4570.77,4590.86,4410.2,4570.22,4378.58,4285.18,4741.87,4664.02,4770.97,8007.78,8211.63,9199.59
,D,4056.48,4124.94,4273.39,4177.49,4075.17,4246.5,4655.55,4646.36,4788.22,6166.98,5933.01,6177.66
,E,4091.58,4088.6,4006.36,4128.06,3957.43,3919.45,4244.15,4320.63,4599.5,6057.89,6046.09,6165.17
,F,4077.15,3945.73,3971.57,4047.09,4027.83,4333.57,4284.66,4464.68,4284.94,5367.58,5455.98,5439.32
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,3605310,1792260,3491940,3559710,3181270,3570470,2037600,1972090,2094850,4783360,4766810,4635960
,B,5795930,5507540,4384350,4554710,4882080,5040500,3666300,3077170,3049280,9602670,9674800,9166030
,C,665904,645089,668111,575343,632673,735143,77707.8,135544,104559,1471360,1343670,1452010
,D,963378,1180160,1486970,1611940,1509740,1527430,744775,811824,986025,2129730,1619890,1777990
,E,440396,542685,545622,498196,563337,500668,31354.1,25627.5,39502.4,848637,717571,658050
,F,113656,115713,115435,104618,106615,115803,1044.06,621.02,1239.08,199332,144461,160338
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
