Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-29-2019_8-49-32 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,7881.67,9586.79,7570.61,6231.21,6902.87,6504.13,6137.84,5490.01,5292.93,5664.55,6322.04,5810.7
,B,5944.3,6038.14,5613.83,4788.45,4881.86,5107.68,4630.96,4772.87,4870.86,4890.33,4697.61,4644.45
,C,5795.59,6360.82,5447.2,4736.66,4816.96,5104.69,4815.33,4820.41,4559.37,4680.31,4706.71,4654.05
,D,5772.7,6427.27,5465.81,4633.35,4707.3,4900.39,4467.69,4492.12,4533.45,4444.63,4493.62,4356.45
,E,6138.94,6301.13,5254.38,4883.41,4729.39,5046.77,4460.34,4211.26,4286.19,4644.06,4498.96,4324.75
,F,5988.48,5881.09,4995.38,4515.51,4528.55,4478.7,4368.2,4456.25,4478.64,4287.82,4239.82,4333.77
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,2408890,2914800,2179200,1825960,2179860,2435290,2145410,1744500,1749180,1726620,1661510,1612640
,B,1850620,1957270,1798480,1776980,1646650,2183450,1839910,2010700,1761170,1659300,1628380,1454010
,C,435633,532238,516332,468265,494667,539285,472001,477425,423877,394221,403101,410310
,D,1277810,1707000,1218530,1017150,1102870,1166510,971436,1075910,1071940,907017,895829,696458
,E,436908,604968,445876,475512,465912,528571,428053,374264,384553,437826,452695,438587
,F,473769,494075,427360,344980,336277,303120,283417,271848,227981,202339,200327,200163
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
