Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-30-2019_8-21-48 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,6149.44,6277.34,5971.75,5713.56,5228.52,5733.51,5672.66,5638.9,6229.78,15458.6,14776,16676.1
,B,5427.03,6190.42,4871.95,4889.51,4874.94,4877.64,5148.28,4900.08,5021.78,12638.1,12237.7,11367.9
,C,5903.67,5297.08,5159.23,5314.44,5083.17,5134.72,5672.48,5476.53,5772.2,15964.7,23240.6,20664
,D,5040.43,4602.41,4820.09,4729.64,4578.17,4695.53,4743.29,4787.6,4988.37,11370,12094.4,13530.3
,E,4752.92,4730.82,4419.37,4612.84,4479.72,4390.89,4554.42,4647.93,4898.47,8597.82,8946.87,10477
,F,4417.31,4189.1,4234.31,4304.72,4291.3,4766.85,4470.59,4738.59,4488.64,5293.22,5350.99,5412.06
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1401680,1257330,1571950,1595530,1495870,1546750,1963990,1907700,2071140,3306950,2936730,3028600
,B,1040070,1014990,1020860,1052400,970655,1023740,1054060,996026,988064,2249770,2257030,1945070
,C,622226,691392,757523,696129,686990,806879,810379,867280,818885,1401170,1911600,1695050
,D,767990,874718,1015270,1015160,954084,1099430,973781,999042,1049790,1472590,1640360,1743760
,E,423327,451669,433049,466562,480139,420221,468049,445320,486816,986275,992358,997665
,F,233743,232286,231539,223228,224347,254715,199252,169219,183541,243623,263435,253020
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
