Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\Trt_Eto38.5h_RealTime-Glo_4-18-2019_6-10-40 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5371.45,5294.41,5148.01,5404.59,4817,4352.84,4808.96,4655.7,4727.54,4499.63,4748.04,4568.18
,B,5202.06,5080.44,4777.83,4836.51,4764.07,4815.72,4704.51,4510.26,4738.75,4738.19,4520.5,4531.11
,C,4852.91,4590.89,4446.85,4887.09,4406.84,4423.39,4446.06,4227.42,4433.18,4475.44,4252.06,4191.33
,D,4587.72,4439.67,4398.25,4280.54,4152.12,4367.25,4203.34,4301.62,4103.79,4133.7,4226.81,4082.62
,E,4983.63,4470.08,4700.14,4602.62,4590.64,4441.23,4421.85,4280.79,4616.03,4416.29,4442.37,4234.14
,F,4359.33,4110.03,4035.98,4042.12,4147.19,4425.59,4089.89,4105.66,4373.89,4025.68,4115.22,4162.75
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1059370,1210140,1128150,1114520,919738,793379,706078,525324,632490,448897,539596,501964
,B,1573690,1572170,1537240,1443890,1488160,1330880,1058060,1043930,1144530,996358,946146,989122
,C,409465,397368,377120,387472,367371,342127,230646,216902,252782,159030,161004,151368
,D,960864,1077200,935887,855478,786880,877016,583551,618759,554367,519819,493913,470085
,E,546814,566057,526240,508844,547958,491341,320405,296705,321421,249162,235786,222109
,F,220188,224950,219571,199051,198657,204310,116604,106269,137053,81047.6,89634.9,82049.9
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: RealTimeGlo assay, tortoises and TH-1, Etoposide treatment.
 Started aprox one hour after treatment.
