Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\2_RealTime-Glo_4-30-2019_3-45-47 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,8402.42,10106.8,8077.9,6501.61,7184.9,7438.22,6917.25,6309.22,5957.18,6260.7,6581.26,6017.39
,B,6425.54,6489.65,6074.9,4923.89,5026.76,5293.49,4813.5,4934.59,5093.58,5160.52,4933.42,4847.92
,C,6287.41,6844.62,5943.03,5007.7,5007.3,5315.16,5006.06,5008.31,4702.68,4856.73,4855.55,4852.69
,D,6208.63,6947.17,5911.88,4814.74,4835.23,5051.28,4545.82,4619.09,4635.58,4592.17,4633.51,4480.26
,E,6633.7,6814.19,5735.44,5107.84,4925.81,5293.7,4760.21,4307.98,4483.41,4828.82,4682.28,4500.58
,F,6325.21,6187.59,5298.7,4652.23,4636.78,4558.63,4432.27,4527.08,4551.56,4360.01,4305.59,4395.03
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1474010,2020590,1512640,1317020,1618000,1766760,1650780,1401630,1314550,1400940,1389330,1226130
,B,843670,870106,990390,1036200,819082,1039630,916471,944005,904207,821177,855419,717219
,C,458941,584478,536628,529497,541705,604279,526564,527863,472684,440446,434547,438860
,D,741962,1126980,856143,826963,927186,1022500,784403,920606,851130,750098,731667,685678
,E,412684,555288,435531,470940,480283,519628,452616,377363,378108,449310,418084,418238
,F,405971,391130,353480,345360,336052,302328,280685,272186,247222,197950,197979,198470
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
