Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\Trt_Eto12.5h_RealTime-Glo_4-17-2019_4-37-50 AM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5075.44,5034.47,4897.6,5164.06,4628.07,4208.8,4550.18,4401.81,4563.04,4290.69,4510.03,4375.5
,B,4952.94,4901.38,4541.27,4633.07,4604.75,4699.38,4553.4,4364.92,4493.9,4597.84,4383.75,4311.75
,C,4512.85,4382.34,4262.68,4732.37,4262.37,4275.14,4334.99,4033.87,4223.71,4275.43,4069.36,4040.48
,D,4325.95,4254.36,4174.46,4102.58,4002.93,4233.09,3988.64,4122.95,3947.72,3985.63,4105.11,3951.63
,E,4751.65,4265.8,4484.11,4441.59,4458.32,4245.39,4257.7,4152.5,4466.26,4286.9,4225.1,4122.69
,F,4179.83,3981.36,3917.75,3957.13,4082.88,4380.86,3975.13,4048.62,4270.12,3988.65,4029.51,4145.82
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,1279130,1476680,1417320,1361560,1078580,898540,893643,643948,789578,592202,716909,641593
,B,2851430,3258940,2782760,2384190,2493380,2387180,2067880,1774040,1811590,1796500,1602500,1554180
,C,404017,386954,365578,394042,342175,347269,246987,220584,268499,169020,155115,161165
,D,1057490,1215230,1030140,877173,789636,983727,639529,636049,545835,487496,449962,440468
,E,609194,638064,608675,532078,635331,565217,401304,348966,377924,302669,294486,269458
,F,188223,147851,157079,145548,148833,140968,85025.1,77856.9,96266.3,64997.7,81373.3,65053.1
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: RealTimeGlo assay, tortoises and TH-1, Etoposide treatment.
 Started aprox one hour after treatment.
