Protocol Description
,Protocol name: RealTime-Glo
,Result File name: \Thumb Drive\Promega\Data\CSV\3_RealTime-Glo_4-29-2019_6-45-55 PM.csv
,Total steps: 2


Step 1,Fluorescence,Green. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,5949.39,5569.78,5725.37,5642.41,5110.93,5662.37,5532.59,5548.17,5920.75,15032.1,14477.6,16010.9
,B,5224.61,5176.05,4677.05,4752.58,4746.74,4773.14,5076.22,4863.63,4990.74,12512.5,12073,11217.3
,C,5648.27,5152.69,5002.92,5167.81,4934.22,4861.38,5283.75,5150.67,5361.22,17496.5,24171.8,21904.3
,D,4874.41,4540.97,4707.57,4672.29,4476.54,4693.44,4725.02,4768.95,4975.39,11810.1,12367.4,13653.7
,E,4555.51,4559.91,4354.88,4531.44,4356.68,4312.19,4514.75,4592.25,4840.82,8893.59,9346.36,10999.6
,F,4295.11,4175.41,4212.27,4278.27,4269.22,4709.13,4450.56,4726.22,4478.71,5282.9,5301.25,5341.05
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X

Step 2,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,2125180,1260640,2135450,2247070,2008550,2246200,2460120,2335260,2495500,4183920,3986970,3970410
,B,2317200,2208750,2067460,2009280,2176020,2174290,2126290,2227910,2145770,4246530,4038210,3613600
,C,537356,580069,596871,556836,580905,633360,625333,672749,624456,2090690,2473410,2428630
,D,828895,965606,1119130,1154850,1126790,1196870,1046080,1126440,1173940,2237560,2241210,2355340
,E,371734,415404,417220,451406,462035,416497,466548,428894,443074,1517480,1452360,1400700
,F,156302,169027,163275,159687,159194,171775,137289,111181,123823,346298,358004,344449
,G,X,X,X,X,X,X,X,X,X,X,X,X
,H,X,X,X,X,X,X,X,X,X,X,X,X


Notes for the assay run: Enter Notes
